USER,SUB,SUB_PERIOD,SUB_START_TS,SUB_END_TS,PRICE,PRICE_USD,CURRENCY,COUNTRY_CODE
40,bronze,month,2022-07-31T22:15:58-04:00,9/1/22,10,9.981406342,EUR,IT
57,bronze,month,2019-08-10T04:04:56-04:00,9/10/19,12,12,USD,US
78,bronze,year,2020-03-25T16:39:58-04:00,3/25/21,69,83.01419346,GBP,GB
45,bronze,year,2020-06-05T08:30:35-04:00,6/5/21,69,76.2549683,EUR,NL
53,bronze,year,2019-04-18T18:55:47-04:00,5/10/20,84,84,USD,US
32,bronze,year,2023-02-04T22:48:02-05:00,2/5/24,84,84,USD,US
44,bronze,month,2019-08-26T06:06:14-04:00,9/26/19,12,12,USD,US
68,bronze,year,2020-06-04T13:54:51-04:00,6/4/21,69,84.49347447,GBP,GB
81,platinum,year,2023-02-15T03:42:53-05:00,3/16/24,,,USD,VN
9,silver,year,2021-06-05T21:15:10-04:00,6/6/22,240,240,USD,US
2,bronze,month,2022-10-30T22:01:39-04:00,11/30/22,12,12,USD,US
82,bronze,month,2020-08-05T16:02:02-04:00,9/5/20,12,12,USD,US
25,bronze,year,2020-06-09T14:33:21-04:00,1/14/22,69,76.2549683,EUR,AT
17,bronze,month,2019-07-04T03:38:48-04:00,8/4/19,12,12,USD,US
88,silver,year,2022-07-12T07:57:45-04:00,7/12/23,479,478.1093638,EUR,AT
28,bronze,month,2021-04-10T06:56:34-04:00,5/10/21,10,11.61872814,EUR,NL
8,bronze,month,2022-07-12T11:04:25-04:00,8/12/22,160,7.664056336,MXN,US
53,silver,year,2022-10-12T21:00:46-04:00,10/13/23,240,240,USD,US
13,silver,year,2022-07-13T05:22:53-04:00,8/28/23,189,188.6485799,EUR,PT
59,bronze,month,2022-03-05T20:50:31-05:00,4/6/22,1200,10.006806,JPY,JP
68,silver,year,2019-09-13T02:40:19-04:00,9/13/20,240,240,USD,US
12,bronze,month,2020-02-08T06:41:57-05:00,3/8/20,1200,10.769604,JPY,JP
88,bronze,month,2019-11-24T04:24:41-05:00,12/24/19,12,12,USD,BR
77,bronze,month,2022-08-02T12:05:12-04:00,9/2/22,9,9,USD,GB
61,silver,year,2021-08-28T12:23:00-04:00,8/28/22,240,240,USD,US
82,bronze,month,2021-06-03T23:10:37-04:00,6/19/21,12,12,USD,US
89,bronze,month,2022-12-12T00:00:20-05:00,1/12/23,9.95,9.95,USD,US
48,bronze,year,2020-08-27T10:31:03-04:00,8/27/21,69.95,51.79983082,CAD,CA
65,silver,year,2021-02-16T03:37:58-05:00,2/16/22,189,257.6843157,GBP,GB
40,bronze,year,2019-02-24T10:44:08-05:00,2/24/20,84,84,USD,US
86,bronze,month,2019-10-30T06:41:01-04:00,11/30/19,9.95,9.95,USD,AU
47,bronze,year,2020-03-05T03:16:21-05:00,3/5/21,49.95,53.94089016,EUR,FR
15,bronze,month,2022-04-18T05:09:00-04:00,5/18/22,,,,AU
90,silver,month,2020-11-10T04:25:32-05:00,12/10/20,20,14.2737646,AUD,AU
75,bronze,year,2021-05-13T21:45:44-04:00,5/14/22,88200,78.16886406,KRW,KR
10,bronze,year,2021-08-08T22:33:34-04:00,8/9/22,59.95,59.95,USD,CH
69,bronze,year,2021-05-08T22:27:54-04:00,5/9/22,84,84,USD,US
91,bronze,month,2021-01-23T03:54:13-05:00,2/23/21,12,12,USD,US
54,bronze,month,2021-04-18T04:18:21-04:00,5/18/21,10,11.61872814,EUR,IT
65,bronze,month,2019-01-30T22:16:45-05:00,2/28/19,12,12,USD,US
47,bronze,month,2019-05-03T11:59:56-04:00,6/3/19,9.95,9.95,USD,US
18,silver,year,2022-11-03T20:59:18-04:00,11/4/23,189,188.3169434,EUR,DE
25,bronze,month,2020-04-15T10:33:29-04:00,5/15/20,160,6.433607312,MXN,MX
30,silver,year,2020-10-29T19:17:19-04:00,10/29/21,399,399,USD,US
60,bronze,month,2020-02-07T04:25:27-05:00,3/7/20,12,12,USD,US
81,bronze,month,2021-08-20T20:16:27-04:00,9/20/21,6.99,6.99,USD,US
49,bronze,month,2022-09-25T23:44:11-04:00,10/25/22,12,12,USD,US
31,silver,year,2022-11-10T09:33:32-05:00,11/10/23,151.2,173.1074519,GBP,GB
28,silver,month,2020-02-05T22:09:11-05:00,3/5/20,19.99,19.99,USD,US
82,bronze,month,2020-03-02T03:47:36-05:00,4/1/20,12,12,USD,US
74,silver,year,2019-03-24T13:13:58-04:00,3/24/20,199,199,USD,US
31,bronze,year,2022-08-06T20:22:03-04:00,8/7/23,168,114.8135675,AUD,AU
61,bronze,month,2022-09-19T20:52:27-04:00,10/20/22,12,12,USD,US
39,bronze,month,2022-05-20T21:38:12-04:00,6/21/22,12,12,USD,US
4,silver,year,2022-09-01T23:39:43-04:00,9/1/23,17901,123.8114037,JPY,JP
57,bronze,year,2022-10-04T11:51:50-04:00,10/4/23,76.87,76.87,USD,FR
44,bronze,month,2021-01-12T04:50:11-05:00,2/12/21,12,9.0930121,AUD,AU
73,bronze,year,2022-05-30T22:22:29-04:00,5/31/23,59.95,59.95,USD,US
48,bronze,year,2020-01-15T07:34:46-05:00,1/15/21,59.95,59.95,USD,US
16,bronze,month,2020-03-15T06:08:06-04:00,4/15/20,12,12,USD,US
3,silver,year,2020-05-08T10:25:55-04:00,5/8/21,120.19,128.9431495,EUR,IT
79,bronze,year,2022-10-17T22:39:06-04:00,10/18/23,84,84,USD,US
56,bronze,month,2021-12-24T20:39:01-05:00,1/24/22,11.67,11.67,USD,AU
60,bronze,year,2021-07-23T21:09:33-04:00,7/24/22,69,93.52521555,GBP,GB
19,bronze,year,2019-12-14T06:34:05-05:00,12/14/20,84,84,USD,US
27,bronze,year,2020-05-16T08:49:42-04:00,5/16/21,69,74.02510457,EUR,ES
41,silver,year,2022-09-29T00:29:24-04:00,9/29/23,159,153.7140582,EUR,ES
91,bronze,month,2019-09-18T12:17:35-04:00,10/18/19,9.95,9.95,USD,NO
91,bronze,month,2021-11-30T23:47:24-05:00,1/1/22,12,12,USD,US
80,bronze,year,2021-04-25T02:04:02-04:00,4/25/22,52.95,55.81745756,CHF,CH
57,bronze,year,2019-10-15T05:36:54-04:00,10/15/20,69,85.82229588,GBP,GB
21,silver,month,2021-12-20T16:37:19-05:00,1/20/22,24.99,24.99,USD,US
89,bronze,month,2020-05-29T03:26:33-04:00,6/29/20,12,12,USD,US
36,bronze,month,2023-02-08T22:30:28-05:00,3/9/23,12,12,USD,US
83,bronze,year,2020-02-05T07:38:20-05:00,2/5/21,49.95,63.65235161,GBP,GB
56,bronze,month,2019-07-10T13:35:02-04:00,8/10/19,9.95,9.95,USD,US
56,bronze,year,2019-04-17T06:57:44-04:00,4/17/20,69,76.07358029,EUR,ES
42,bronze,month,2020-12-01T15:03:37-05:00,1/1/21,11.69,11.69,USD,BR
54,bronze,month,2022-04-30T20:45:02-04:00,5/31/22,11.53,11.53,USD,AU
3,bronze,year,2019-06-08T06:22:27-04:00,6/8/20,52.95,52.74849126,CHF,CH
35,bronze,month,2019-01-15T14:58:27-05:00,2/15/19,12,12,USD,US
55,bronze,month,2019-08-11T05:03:38-04:00,9/11/19,10,11.98273417,GBP,GB
3,bronze,month,2021-03-17T23:36:24-04:00,4/18/21,12,12,USD,US
63,bronze,month,2020-02-22T07:13:21-05:00,3/22/20,9.95,9.95,USD,US
29,bronze,year,2021-05-27T22:44:41-04:00,5/28/22,84,84,USD,US
91,silver,year,2020-10-21T12:56:50-04:00,10/21/21,240,240,USD,US
68,silver,year,2020-10-18T03:29:20-04:00,10/18/21,240,240,USD,US
18,bronze,month,2022-04-10T20:20:35-04:00,5/11/22,10,10.67274382,EUR,NL
4,bronze,year,2019-02-12T03:26:17-05:00,2/12/20,5700,85.21160679,RUB,RU
43,bronze,month,2022-11-23T21:45:33-05:00,12/24/22,12,12,USD,PF
51,bronze,month,2022-06-07T20:47:37-04:00,7/8/22,10,10.40611285,EUR,DE
17,silver,year,2022-07-02T20:20:05-04:00,7/3/23,24000,172.5908064,JPY,JP
68,bronze,month,2021-07-26T21:24:21-04:00,8/27/21,12,12,USD,US
68,bronze,year,2023-02-07T23:43:53-05:00,2/8/24,84,84,USD,US
50,bronze,year,2023-03-20T06:33:51-04:00,3/1/24,96,100.716938,EUR,FR
50,bronze,month,2019-04-22T07:18:02-04:00,5/22/19,45,12.25788418,ILS,IL
82,bronze,month,2020-08-17T06:29:34-04:00,9/17/20,12,8.4369297,AUD,AU
14,silver,month,2021-06-01T14:05:00-04:00,7/11/22,0,0,,HK
84,silver,year,2019-10-24T16:14:32-04:00,10/9/20,399,399,USD,US
75,bronze,month,2020-04-05T03:26:37-04:00,5/5/20,12,12,USD,US
61,bronze,month,2022-01-18T22:15:35-05:00,2/18/22,160,7.743564288,MXN,MX
18,silver,year,2021-10-08T20:31:18-04:00,10/9/22,599,599,USD,US
46,bronze,month,2022-02-17T09:28:10-05:00,3/17/22,12,12,USD,US
50,bronze,month,2019-07-25T13:27:08-04:00,8/25/19,12.1,12.1,USD,US
91,bronze,month,2021-03-07T12:57:38-05:00,4/7/21,6.99,6.99,USD,US
30,bronze,month,2020-03-14T03:34:46-04:00,4/14/20,12,12,USD,US
65,bronze,month,2019-05-04T05:51:06-04:00,6/4/19,12,12,USD,US
77,bronze,year,2022-04-06T03:04:25-04:00,4/6/23,69,73.64193234,EUR,PT
18,bronze,year,2021-12-16T20:40:15-05:00,12/17/22,69.95,49.05582758,AUD,AU
54,bronze,month,2019-06-30T06:35:15-04:00,7/31/19,35,9.108107432,PLN,PL
8,bronze,year,2022-06-13T21:14:39-04:00,6/14/23,69,71.80217865,EUR,IT
63,silver,year,2023-03-14T11:00:42-04:00,3/14/24,240,240,USD,US
43,silver,year,2021-10-20T10:16:48-04:00,10/20/22,74.44,85.33493561,EUR,FR
26,bronze,month,2020-08-04T08:14:51-04:00,9/4/20,12,12,USD,US
86,bronze,month,2022-09-11T15:27:50-04:00,10/11/22,6.99,6.99,USD,PR
23,bronze,month,2020-12-08T06:50:11-05:00,1/8/21,10.95,8.041834678,AUD,AU
79,bronze,month,2020-01-24T05:59:35-05:00,2/24/20,12,12,USD,BR
49,silver,year,2021-05-09T23:47:33-04:00,5/10/22,219,177.054003,CAD,CA
9,silver,year,2019-09-29T06:15:00-04:00,9/29/20,240,240,USD,US
81,bronze,year,2023-02-10T00:12:59-05:00,2/10/24,59.95,59.95,USD,US
5,bronze,month,2023-01-24T20:49:18-05:00,2/25/23,13,9.51013089,CAD,CA
91,bronze,year,2022-07-31T22:49:45-04:00,8/1/23,84,84,USD,US
1,bronze,year,2022-04-13T21:53:47-04:00,4/14/23,69,73.64193234,EUR,IT
41,bronze,month,2022-04-11T23:44:57-04:00,5/12/22,12,12,USD,US
25,bronze,month,2020-07-19T07:57:00-04:00,8/19/20,12,12,USD,US
17,bronze,year,2021-07-28T20:36:44-04:00,7/29/22,88200,76.69021752,KRW,KR
62,bronze,year,2020-02-11T06:14:21-05:00,2/11/21,269,67.71540914,PLN,PL
3,bronze,month,2021-06-06T00:35:28-04:00,7/6/21,10,11.9170379,EUR,DE
49,bronze,year,2019-09-14T07:01:06-04:00,9/14/20,84,84,USD,US
86,bronze,year,2023-01-13T01:28:27-05:00,1/13/24,59.95,59.95,USD,US
2,bronze,month,2022-05-01T00:44:30-04:00,6/1/22,11.44,11.44,USD,US
39,bronze,year,2019-04-13T09:10:54-04:00,4/13/20,69,76.07358029,EUR,IE
6,bronze,year,2022-06-30T20:49:59-04:00,7/1/23,84,84,USD,US
8,bronze,year,2019-10-16T07:46:50-04:00,10/16/20,394.95,39.87064093,SEK,SE
87,bronze,month,2020-09-30T04:36:33-04:00,10/31/20,12,8.47335033,AUD,AU
25,bronze,month,2019-12-03T05:37:04-05:00,1/3/20,12,12,USD,US
77,silver,year,2022-03-27T22:53:06-04:00,3/28/23,159,171.8283344,EUR,DE
74,bronze,year,2019-12-28T03:33:28-05:00,12/28/20,84,84,USD,CZ
80,bronze,year,2019-12-06T07:12:05-05:00,12/6/20,59.95,59.95,USD,US
22,bronze,month,2022-05-23T02:07:37-04:00,6/23/22,11.5,11.5,USD,US
18,bronze,year,2020-11-13T11:06:21-05:00,11/13/21,59.95,59.95,USD,GB
86,silver,year,2023-01-10T06:29:54-05:00,1/6/24,189,226.5857018,GBP,GB
77,silver,year,2020-04-23T07:31:19-04:00,4/23/21,199,199,USD,US
53,bronze,month,2020-05-08T06:16:00-04:00,6/8/20,12,12,USD,US
67,silver,month,2022-05-30T22:23:10-04:00,6/30/22,40.99,28.36622248,AUD,AU
21,bronze,year,2022-07-05T20:33:01-04:00,7/6/23,69,68.87170376,EUR,IT
6,bronze,year,2020-09-12T07:08:41-04:00,9/12/21,714,76.99982839,NOK,NO
78,silver,year,2022-07-28T22:13:13-04:00,7/8/23,240,240,USD,BR
33,bronze,year,2023-04-09T22:27:21-04:00,4/10/24,84,84,USD,US
67,platinum,year,2022-12-06T21:55:33-05:00,12/7/23,840,870.5743613,EUR,FR
8,silver,year,2021-08-30T21:24:05-04:00,8/31/22,189,218.5962726,EUR,DE
33,bronze,year,2020-12-16T09:45:15-05:00,12/16/21,69,82.21058123,EUR,BE
90,bronze,month,2020-04-21T05:12:57-04:00,5/21/20,12,12,USD,US
91,silver,year,2022-03-30T20:33:45-04:00,3/31/23,189,204.2487748,EUR,ES
8,silver,year,2020-10-04T05:05:51-04:00,10/4/21,159,183.0768083,EUR,ES
64,silver,year,2019-04-07T20:58:27-04:00,4/7/20,180.21,180.21,USD,US
21,bronze,month,2021-07-20T23:39:12-04:00,8/21/21,9.95,9.95,USD,US
92,silver,month,2019-12-15T13:25:01-05:00,1/15/20,19.79,19.79,USD,MX
82,bronze,year,2022-01-25T00:16:42-05:00,1/25/23,59.95,59.95,USD,US
45,bronze,year,2019-05-07T10:34:08-04:00,5/7/20,59.95,59.95,USD,US
73,bronze,year,2021-04-11T23:17:22-04:00,4/12/22,84,84,USD,US
29,bronze,month,2021-09-04T20:50:49-04:00,10/5/21,35,8.888931657,PLN,PL
72,bronze,month,2022-03-15T23:55:59-04:00,4/16/22,9.95,9.95,USD,US
91,bronze,month,2021-05-25T22:05:34-04:00,6/26/21,10,13.80367742,GBP,GB
53,bronze,year,2021-10-20T20:31:13-04:00,10/21/22,269,66.90491383,PLN,PL
16,bronze,month,2020-01-08T06:02:48-05:00,2/8/20,10,12.82777961,GBP,GB
75,bronze,month,2022-09-19T23:52:45-04:00,10/20/22,12,7.89227301,AUD,AU
50,bronze,month,2022-03-04T22:03:14-05:00,4/5/22,12,12,USD,US
17,bronze,month,2020-01-13T08:26:29-05:00,2/13/20,9.95,9.95,USD,DK
10,bronze,year,2020-03-22T05:36:43-04:00,3/22/21,84,84,USD,US
85,silver,month,2021-12-22T04:51:48-05:00,1/22/22,24.99,27.73383768,EUR,IE
10,bronze,year,2020-12-30T13:08:15-05:00,12/28/21,59.95,59.95,USD,US
55,bronze,month,2019-11-21T03:25:53-05:00,12/21/19,12,12,USD,US
88,bronze,month,2020-10-27T03:01:31-04:00,11/27/20,1200,11.19810528,JPY,jp
37,bronze,month,2020-11-22T06:23:03-05:00,12/22/20,12,12,USD,US
59,silver,year,2020-07-02T07:41:24-04:00,7/2/21,240,240,USD,BR
15,bronze,month,2020-12-13T04:01:53-05:00,1/13/21,12,8.81296951,AUD,AU
13,bronze,month,2020-07-08T06:42:28-04:00,8/8/20,12,12,USD,US
25,bronze,year,2020-07-12T09:37:27-04:00,7/12/21,59.95,59.95,USD,US
51,bronze,month,2019-09-16T08:32:01-04:00,10/16/19,10.95,8.145951431,CAD,CA
40,bronze,month,2021-09-30T23:22:04-04:00,11/1/21,9.95,9.95,USD,PR
31,platinum,year,2021-05-23T12:01:13-04:00,5/23/22,900,900,USD,US
79,bronze,year,2019-01-26T09:34:01-05:00,1/26/20,49.95,56.25507144,EUR,FR
63,silver,year,2020-09-24T16:45:24-04:00,9/24/21,960,276.7082762,ILS,US
86,bronze,year,2019-03-25T09:24:54-04:00,3/25/20,84,84,USD,US
61,bronze,year,2020-11-26T05:29:42-05:00,11/26/21,84,84,USD,US
31,bronze,month,2020-09-18T02:56:39-04:00,10/18/20,800,10.36838256,RUB,RU
7,bronze,month,2019-03-27T10:50:47-04:00,4/27/19,12,12,USD,US
62,bronze,month,2019-05-06T06:01:55-04:00,6/6/19,12,12,USD,US
54,bronze,year,2020-11-14T03:54:50-05:00,11/14/21,101,72.08251123,AUD,AU
40,silver,year,2020-04-16T06:13:00-04:00,4/16/21,189,229.7606966,GBP,GB
26,bronze,month,2019-08-24T09:39:56-04:00,9/24/19,9.95,9.95,USD,US
27,platinum,year,2020-01-21T05:44:14-05:00,1/21/21,900,900,USD,US
25,bronze,year,2021-07-10T22:39:18-04:00,7/11/22,84,84,USD,US
86,bronze,year,2020-05-17T08:07:33-04:00,5/17/21,59.95,59.95,USD,US
79,bronze,month,2022-02-06T19:51:10-05:00,3/7/22,12,12,USD,US
6,bronze,month,2021-07-04T21:34:55-04:00,8/5/21,12,12,USD,US
37,bronze,month,2020-03-28T19:11:26-04:00,4/28/20,11.55,11.55,USD,US
17,silver,month,2021-04-03T01:42:46-04:00,5/3/21,24.99,24.99,USD,US
78,bronze,month,2022-03-25T00:26:47-04:00,4/25/22,10,10.80681348,EUR,ES
87,bronze,month,2020-03-12T03:59:31-04:00,4/12/20,12,12,USD,US
50,bronze,month,2020-02-23T19:02:36-05:00,3/23/20,11.71,11.71,USD,GB
80,bronze,year,2020-06-16T19:01:37-04:00,6/15/21,84,84,USD,BR
52,silver,year,2020-03-28T10:26:26-04:00,3/28/21,156,156,USD,US
79,silver,year,2021-11-11T20:42:06-05:00,11/12/22,240,240,USD,US
35,bronze,year,2022-10-06T23:09:40-04:00,10/7/23,69,75.40140539,GBP,GB
13,bronze,month,2022-05-23T02:25:51-04:00,6/23/22,6.99,6.99,USD,US
87,bronze,year,2022-10-06T21:00:44-04:00,10/7/23,84,84,USD,US
40,silver,month,2022-12-21T17:55:17-05:00,1/21/23,24.99,25.89958725,EUR,ES
31,bronze,month,2023-01-05T13:54:39-05:00,2/5/23,11.49,11.49,USD,US
55,bronze,year,2022-06-12T22:34:30-04:00,6/13/23,600,84.25759608,DKK,DK
25,bronze,month,2020-04-13T06:07:43-04:00,4/19/20,95,8.876786415,NOK,NO
44,bronze,year,2022-12-12T22:15:34-05:00,12/13/23,84,84,USD,US
47,bronze,month,2021-02-24T04:15:51-05:00,3/24/21,12,9.141517972,AUD,AU
4,bronze,year,2022-09-20T21:56:43-04:00,9/21/23,84,84,USD,US
5,bronze,month,2021-06-29T00:45:56-04:00,7/29/21,12,12,USD,US
32,silver,year,2021-06-14T22:00:36-04:00,6/15/22,240,240,USD,US
87,bronze,month,2019-01-01T05:06:18-05:00,2/1/19,9.95,9.95,USD,US
58,silver,year,2020-06-16T07:17:15-04:00,6/16/21,199,199,USD,NZ
42,bronze,month,2021-08-06T21:32:48-04:00,9/7/21,12,12,USD,PR
0,bronze,month,2023-03-07T16:33:37-05:00,4/7/23,6.99,8.321288342,GBP,GB
34,bronze,year,2022-11-17T23:13:36-05:00,11/18/23,59.95,59.95,USD,US
12,bronze,year,2020-10-07T02:33:20-04:00,10/7/21,41.31,47.56542736,EUR,ES
46,silver,year,2021-06-09T21:35:55-04:00,6/10/22,240,240,USD,EE
87,silver,year,2023-04-08T22:44:07-04:00,4/9/24,240,240,USD,US
77,bronze,month,2019-09-07T05:42:56-04:00,10/7/19,12,8.04686871,AUD,AU
38,bronze,month,2023-01-07T20:14:33-05:00,2/8/23,12,12,USD,BR
76,bronze,year,2021-07-05T20:31:23-04:00,7/6/22,101,73.7894232,AUD,AU
52,bronze,year,2020-09-03T05:02:06-04:00,9/3/21,84,84,USD,US
26,platinum,year,2022-09-19T21:32:51-04:00,9/20/23,7500,678.8655608,SEK,SE
29,bronze,year,2022-01-22T06:02:16-05:00,12/16/23,8400,72.2790684,JPY,JP
10,silver,year,2020-10-18T18:32:03-04:00,10/18/21,225.19,157.7582027,AUD,AU
30,silver,year,2022-10-14T23:12:23-04:00,10/15/23,479,459.7428056,EUR,IT
20,silver,year,2021-11-17T23:55:10-05:00,11/18/22,199,199,USD,US
10,bronze,month,2019-06-14T05:04:52-04:00,7/14/19,12,12,USD,UA
61,bronze,year,2022-07-24T00:17:08-04:00,7/24/23,69,68.87170376,EUR,FR
39,bronze,month,2019-11-16T03:27:39-05:00,12/16/19,10,12.67823573,GBP,US
81,silver,year,2022-02-26T20:23:11-05:00,2/27/23,599,599,USD,US
66,bronze,year,2019-04-13T09:10:27-04:00,4/13/20,69,76.07358029,EUR,DE
3,bronze,year,2020-11-14T06:52:50-05:00,11/14/21,84,84,USD,US
19,bronze,year,2019-05-16T17:57:01-04:00,5/16/20,84,84,USD,BR
16,bronze,year,2021-11-13T22:49:15-05:00,11/14/22,49.95,66.32759163,GBP,GB
11,bronze,year,2019-04-29T06:03:40-04:00,4/29/20,59.95,59.95,USD,US
75,bronze,month,2021-03-07T09:27:39-05:00,4/7/21,9.95,9.95,USD,US
70,bronze,month,2019-05-06T06:43:05-04:00,6/6/19,12,12,USD,BR
14,bronze,month,2020-09-19T08:52:43-04:00,10/19/20,995,9.299107318,JPY,US
24,bronze,month,2019-06-28T14:06:23-04:00,7/28/19,9.95,9.95,USD,US
15,bronze,year,2021-06-28T05:38:24-04:00,6/2/22,69.95,56.5521804,CAD,CA
22,bronze,month,2022-08-16T22:54:44-04:00,9/17/22,12,12,USD,US
19,bronze,year,2022-02-17T21:02:24-05:00,2/18/23,69,91.65553826,GBP,GB
53,silver,year,2021-03-25T10:32:37-04:00,3/25/22,364.92,364.92,USD,US
